exchange: 2024-04-08T00:48:10.166Z, received: 2024-04-08T00:48:10.270881928Z, now: 2024-04-08T00:48:10.270935752Z
exchange: 2024-04-08T00:48:11.388Z, received: 2024-04-08T00:48:11.525712070Z, now: 2024-04-08T00:48:11.525811378Z
exchange: 2024-04-08T00:48:11.388Z, received: 2024-04-08T00:48:11.525712070Z, now: 2024-04-08T00:48:11.525870469Z
exchange: 2024-04-08T00:48:13.127Z, received: 2024-04-08T00:48:13.236419679Z, now: 2024-04-08T00:48:13.236500363Z
exchange: 2024-04-08T00:48:13.284Z, received: 2024-04-08T00:48:13.386607753Z, now: 2024-04-08T00:48:13.386663223Z
exchange: 2024-04-08T00:48:13.284Z, received: 2024-04-08T00:48:13.386607753Z, now: 2024-04-08T00:48:13.386724889Z
exchange: 2024-04-08T00:48:13.284Z, received: 2024-04-08T00:48:13.386607753Z, now: 2024-04-08T00:48:13.386737904Z
exchange: 2024-04-08T00:48:13.284Z, received: 2024-04-08T00:48:13.386607753Z, now: 2024-04-08T00:48:13.386746845Z
exchange: 2024-04-08T00:48:13.284Z, received: 2024-04-08T00:48:13.386607753Z, now: 2024-04-08T00:48:13.386755483Z
exchange: 2024-04-08T00:48:13.284Z, received: 2024-04-08T00:48:13.386607753Z, now: 2024-04-08T00:48:13.386764254Z
exchange: 2024-04-08T00:48:13.284Z, received: 2024-04-08T00:48:13.386607753Z, now: 2024-04-08T00:48:13.386772970Z
exchange: 2024-04-08T00:48:13.743Z, received: 2024-04-08T00:48:13.894206915Z, now: 2024-04-08T00:48:13.894269806Z
exchange: 2024-04-08T00:48:13.743Z, received: 2024-04-08T00:48:13.894206915Z, now: 2024-04-08T00:48:13.894340442Z
exchange: 2024-04-08T00:48:13.743Z, received: 2024-04-08T00:48:13.894206915Z, now: 2024-04-08T00:48:13.894352624Z
exchange: 2024-04-08T00:48:13.743Z, received: 2024-04-08T00:48:13.894206915Z, now: 2024-04-08T00:48:13.894362397Z
exchange: 2024-04-08T00:48:13.743Z, received: 2024-04-08T00:48:13.894206915Z, now: 2024-04-08T00:48:13.894372057Z
exchange: 2024-04-08T00:48:15.631Z, received: 2024-04-08T00:48:15.739249933Z, now: 2024-04-08T00:48:15.739308669Z
exchange: 2024-04-08T00:48:15.631Z, received: 2024-04-08T00:48:15.739249933Z, now: 2024-04-08T00:48:15.739373522Z
exchange: 2024-04-08T00:48:15.835Z, received: 2024-04-08T00:48:15.983080159Z, now: 2024-04-08T00:48:15.983172638Z
exchange: 2024-04-08T00:48:15.954Z, received: 2024-04-08T00:48:16.059489666Z, now: 2024-04-08T00:48:16.059569478Z
exchange: 2024-04-08T00:48:16.615Z, received: 2024-04-08T00:48:16.718692867Z, now: 2024-04-08T00:48:16.718766350Z
exchange: 2024-04-08T00:48:17.668Z, received: 2024-04-08T00:48:17.772099679Z, now: 2024-04-08T00:48:17.772172553Z
exchange: 2024-04-08T00:48:17.668Z, received: 2024-04-08T00:48:17.772099679Z, now: 2024-04-08T00:48:17.772229883Z
exchange: 2024-04-08T00:48:18.460Z, received: 2024-04-08T00:48:18.563436032Z, now: 2024-04-08T00:48:18.563488730Z
exchange: 2024-04-08T00:48:19.743Z, received: 2024-04-08T00:48:19.846410213Z, now: 2024-04-08T00:48:19.846500227Z
exchange: 2024-04-08T00:48:20.609Z, received: 2024-04-08T00:48:20.712552951Z, now: 2024-04-08T00:48:20.712602994Z
exchange: 2024-04-08T00:48:20.752Z, received: 2024-04-08T00:48:20.855739299Z, now: 2024-04-08T00:48:20.855823466Z
exchange: 2024-04-08T00:48:21.457Z, received: 2024-04-08T00:48:21.560637316Z, now: 2024-04-08T00:48:21.560684019Z
exchange: 2024-04-08T00:48:22.733Z, received: 2024-04-08T00:48:22.836128954Z, now: 2024-04-08T00:48:22.836220730Z
exchange: 2024-04-08T00:48:22.773Z, received: 2024-04-08T00:48:22.876511109Z, now: 2024-04-08T00:48:22.876597156Z
exchange: 2024-04-08T00:48:23.322Z, received: 2024-04-08T00:48:23.425554405Z, now: 2024-04-08T00:48:23.425652854Z
exchange: 2024-04-08T00:48:23.322Z, received: 2024-04-08T00:48:23.425554405Z, now: 2024-04-08T00:48:23.425703076Z
exchange: 2024-04-08T00:48:23.394Z, received: 2024-04-08T00:48:23.497427702Z, now: 2024-04-08T00:48:23.497513194Z
exchange: 2024-04-08T00:48:23.394Z, received: 2024-04-08T00:48:23.497427702Z, now: 2024-04-08T00:48:23.497559140Z
exchange: 2024-04-08T00:48:23.394Z, received: 2024-04-08T00:48:23.497427702Z, now: 2024-04-08T00:48:23.497589903Z
exchange: 2024-04-08T00:48:23.403Z, received: 2024-04-08T00:48:23.506054141Z, now: 2024-04-08T00:48:23.506133175Z
exchange: 2024-04-08T00:48:23.420Z, received: 2024-04-08T00:48:23.523778358Z, now: 2024-04-08T00:48:23.523858458Z
exchange: 2024-04-08T00:48:23.518Z, received: 2024-04-08T00:48:23.621348833Z, now: 2024-04-08T00:48:23.621427337Z
exchange: 2024-04-08T00:48:23.527Z, received: 2024-04-08T00:48:23.631046475Z, now: 2024-04-08T00:48:23.631108505Z
exchange: 2024-04-08T00:48:23.529Z, received: 2024-04-08T00:48:23.632883308Z, now: 2024-04-08T00:48:23.632978640Z
exchange: 2024-04-08T00:48:23.547Z, received: 2024-04-08T00:48:23.653363445Z, now: 2024-04-08T00:48:23.653408272Z
exchange: 2024-04-08T00:48:23.547Z, received: 2024-04-08T00:48:23.653363445Z, now: 2024-04-08T00:48:23.653452508Z
exchange: 2024-04-08T00:48:23.554Z, received: 2024-04-08T00:48:23.657530277Z, now: 2024-04-08T00:48:23.657616264Z
exchange: 2024-04-08T00:48:23.554Z, received: 2024-04-08T00:48:23.657530277Z, now: 2024-04-08T00:48:23.657652833Z
exchange: 2024-04-08T00:48:23.554Z, received: 2024-04-08T00:48:23.657530277Z, now: 2024-04-08T00:48:23.657662412Z
exchange: 2024-04-08T00:48:24.177Z, received: 2024-04-08T00:48:24.280723729Z, now: 2024-04-08T00:48:24.280782202Z
exchange: 2024-04-08T00:48:24.177Z, received: 2024-04-08T00:48:24.280723729Z, now: 2024-04-08T00:48:24.280833087Z
exchange: 2024-04-08T00:48:24.177Z, received: 2024-04-08T00:48:24.280723729Z, now: 2024-04-08T00:48:24.280865837Z
exchange: 2024-04-08T00:48:24.253Z, received: 2024-04-08T00:48:24.356080948Z, now: 2024-04-08T00:48:24.356129829Z
exchange: 2024-04-08T00:48:25.844Z, received: 2024-04-08T00:48:26.078828792Z, now: 2024-04-08T00:48:26.078937433Z
exchange: 2024-04-08T00:48:25.844Z, received: 2024-04-08T00:48:26.078828792Z, now: 2024-04-08T00:48:26.079002231Z
exchange: 2024-04-08T00:48:25.844Z, received: 2024-04-08T00:48:26.078855157Z, now: 2024-04-08T00:48:26.079036882Z
exchange: 2024-04-08T00:48:25.844Z, received: 2024-04-08T00:48:26.078855157Z, now: 2024-04-08T00:48:26.079054609Z
exchange: 2024-04-08T00:48:25.845Z, received: 2024-04-08T00:48:26.078859739Z, now: 2024-04-08T00:48:26.079084660Z
exchange: 2024-04-08T00:48:26.750Z, received: 2024-04-08T00:48:26.853853914Z, now: 2024-04-08T00:48:26.853940565Z
exchange: 2024-04-08T00:48:26.750Z, received: 2024-04-08T00:48:26.853875555Z, now: 2024-04-08T00:48:26.853980399Z
exchange: 2024-04-08T00:48:26.750Z, received: 2024-04-08T00:48:26.853875555Z, now: 2024-04-08T00:48:26.853991125Z
exchange: 2024-04-08T00:48:26.752Z, received: 2024-04-08T00:48:26.856055961Z, now: 2024-04-08T00:48:26.856144903Z
exchange: 2024-04-08T00:48:26.752Z, received: 2024-04-08T00:48:26.856055961Z, now: 2024-04-08T00:48:26.856200242Z
exchange: 2024-04-08T00:48:26.752Z, received: 2024-04-08T00:48:26.856055961Z, now: 2024-04-08T00:48:26.856234525Z
exchange: 2024-04-08T00:48:28.386Z, received: 2024-04-08T00:48:28.490274003Z, now: 2024-04-08T00:48:28.490292088Z
exchange: 2024-04-08T00:48:28.387Z, received: 2024-04-08T00:48:28.494152948Z, now: 2024-04-08T00:48:28.494205352Z
exchange: 2024-04-08T00:48:28.387Z, received: 2024-04-08T00:48:28.494152948Z, now: 2024-04-08T00:48:28.494232646Z
exchange: 2024-04-08T00:48:28.388Z, received: 2024-04-08T00:48:28.495019542Z, now: 2024-04-08T00:48:28.495031310Z
exchange: 2024-04-08T00:48:28.388Z, received: 2024-04-08T00:48:28.495024457Z, now: 2024-04-08T00:48:28.495039174Z
exchange: 2024-04-08T00:48:28.388Z, received: 2024-04-08T00:48:28.495024457Z, now: 2024-04-08T00:48:28.495046565Z
exchange: 2024-04-08T00:48:28.388Z, received: 2024-04-08T00:48:28.495025847Z, now: 2024-04-08T00:48:28.495065299Z
exchange: 2024-04-08T00:48:28.389Z, received: 2024-04-08T00:48:28.495027147Z, now: 2024-04-08T00:48:28.495069082Z
exchange: 2024-04-08T00:48:28.389Z, received: 2024-04-08T00:48:28.495027147Z, now: 2024-04-08T00:48:28.495072994Z
exchange: 2024-04-08T00:48:28.392Z, received: 2024-04-08T00:48:28.495612565Z, now: 2024-04-08T00:48:28.495622111Z
exchange: 2024-04-08T00:48:28.392Z, received: 2024-04-08T00:48:28.495612565Z, now: 2024-04-08T00:48:28.495627992Z
exchange: 2024-04-08T00:48:28.392Z, received: 2024-04-08T00:48:28.495612565Z, now: 2024-04-08T00:48:28.495631282Z
exchange: 2024-04-08T00:48:28.392Z, received: 2024-04-08T00:48:28.495612565Z, now: 2024-04-08T00:48:28.495652776Z
exchange: 2024-04-08T00:48:28.392Z, received: 2024-04-08T00:48:28.495612565Z, now: 2024-04-08T00:48:28.495656888Z
exchange: 2024-04-08T00:48:28.393Z, received: 2024-04-08T00:48:28.497051551Z, now: 2024-04-08T00:48:28.497059658Z
exchange: 2024-04-08T00:48:28.407Z, received: 2024-04-08T00:48:28.510763460Z, now: 2024-04-08T00:48:28.510807228Z
exchange: 2024-04-08T00:48:28.724Z, received: 2024-04-08T00:48:28.827438206Z, now: 2024-04-08T00:48:28.827531228Z
exchange: 2024-04-08T00:48:28.724Z, received: 2024-04-08T00:48:28.827438206Z, now: 2024-04-08T00:48:28.827595641Z
exchange: 2024-04-08T00:48:29.392Z, received: 2024-04-08T00:48:29.499607246Z, now: 2024-04-08T00:48:29.499618209Z
exchange: 2024-04-08T00:48:30.051Z, received: 2024-04-08T00:48:30.154591079Z, now: 2024-04-08T00:48:30.154673842Z
exchange: 2024-04-08T00:48:30.665Z, received: 2024-04-08T00:48:30.768360255Z, now: 2024-04-08T00:48:30.768449579Z
exchange: 2024-04-08T00:48:30.985Z, received: 2024-04-08T00:48:31.087790048Z, now: 2024-04-08T00:48:31.087850771Z
exchange: 2024-04-08T00:48:33.368Z, received: 2024-04-08T00:48:33.471192989Z, now: 2024-04-08T00:48:33.471230730Z
exchange: 2024-04-08T00:48:35.862Z, received: 2024-04-08T00:48:35.970628500Z, now: 2024-04-08T00:48:35.970731089Z
exchange: 2024-04-08T00:48:35.863Z, received: 2024-04-08T00:48:35.971738001Z, now: 2024-04-08T00:48:35.971832633Z
exchange: 2024-04-08T00:48:37.997Z, received: 2024-04-08T00:48:38.101669617Z, now: 2024-04-08T00:48:38.101760519Z
exchange: 2024-04-08T00:48:37.997Z, received: 2024-04-08T00:48:38.101669617Z, now: 2024-04-08T00:48:38.101827261Z
exchange: 2024-04-08T00:48:37.997Z, received: 2024-04-08T00:48:38.101669617Z, now: 2024-04-08T00:48:38.101864963Z
exchange: 2024-04-08T00:48:37.997Z, received: 2024-04-08T00:48:38.101669617Z, now: 2024-04-08T00:48:38.101874999Z
exchange: 2024-04-08T00:48:37.997Z, received: 2024-04-08T00:48:38.101669617Z, now: 2024-04-08T00:48:38.101884847Z
exchange: 2024-04-08T00:48:38.014Z, received: 2024-04-08T00:48:38.119514064Z, now: 2024-04-08T00:48:38.119597214Z
exchange: 2024-04-08T00:48:38.014Z, received: 2024-04-08T00:48:38.119514064Z, now: 2024-04-08T00:48:38.119665267Z
exchange: 2024-04-08T00:48:38.014Z, received: 2024-04-08T00:48:38.119514064Z, now: 2024-04-08T00:48:38.119699279Z
exchange: 2024-04-08T00:48:38.014Z, received: 2024-04-08T00:48:38.119514064Z, now: 2024-04-08T00:48:38.119731843Z
exchange: 2024-04-08T00:48:38.014Z, received: 2024-04-08T00:48:38.119514064Z, now: 2024-04-08T00:48:38.119753316Z
exchange: 2024-04-08T00:48:38.014Z, received: 2024-04-08T00:48:38.119514064Z, now: 2024-04-08T00:48:38.119769220Z
exchange: 2024-04-08T00:48:38.014Z, received: 2024-04-08T00:48:38.119514064Z, now: 2024-04-08T00:48:38.119784914Z
exchange: 2024-04-08T00:48:38.014Z, received: 2024-04-08T00:48:38.119514064Z, now: 2024-04-08T00:48:38.119817111Z
exchange: 2024-04-08T00:48:38.034Z, received: 2024-04-08T00:48:38.138585382Z, now: 2024-04-08T00:48:38.138682529Z
exchange: 2024-04-08T00:48:38.034Z, received: 2024-04-08T00:48:38.138585382Z, now: 2024-04-08T00:48:38.138728149Z
exchange: 2024-04-08T00:48:38.034Z, received: 2024-04-08T00:48:38.138585382Z, now: 2024-04-08T00:48:38.138762552Z
exchange: 2024-04-08T00:48:38.396Z, received: 2024-04-08T00:48:38.498829626Z, now: 2024-04-08T00:48:38.498918894Z
exchange: 2024-04-08T00:48:38.416Z, received: 2024-04-08T00:48:38.518851454Z, now: 2024-04-08T00:48:38.518941439Z
exchange: 2024-04-08T00:48:38.416Z, received: 2024-04-08T00:48:38.518851454Z, now: 2024-04-08T00:48:38.518988169Z
exchange: 2024-04-08T00:48:40.390Z, received: 2024-04-08T00:48:40.495870985Z, now: 2024-04-08T00:48:40.495924647Z
exchange: 2024-04-08T00:48:41.274Z, received: 2024-04-08T00:48:41.378387104Z, now: 2024-04-08T00:48:41.378427233Z
exchange: 2024-04-08T00:48:41.470Z, received: 2024-04-08T00:48:41.573550717Z, now: 2024-04-08T00:48:41.573643002Z
exchange: 2024-04-08T00:48:42.545Z, received: 2024-04-08T00:48:42.647855042Z, now: 2024-04-08T00:48:42.647924099Z
exchange: 2024-04-08T00:48:44.925Z, received: 2024-04-08T00:48:45.028942775Z, now: 2024-04-08T00:48:45.029032408Z
exchange: 2024-04-08T00:48:45.873Z, received: 2024-04-08T00:48:45.975807036Z, now: 2024-04-08T00:48:45.975884412Z
exchange: 2024-04-08T00:48:48.297Z, received: 2024-04-08T00:48:48.450131964Z, now: 2024-04-08T00:48:48.450219594Z
exchange: 2024-04-08T00:48:49.595Z, received: 2024-04-08T00:48:49.714074202Z, now: 2024-04-08T00:48:49.714147157Z
exchange: 2024-04-08T00:48:49.851Z, received: 2024-04-08T00:48:49.968110693Z, now: 2024-04-08T00:48:49.968159572Z
exchange: 2024-04-08T00:48:51.006Z, received: 2024-04-08T00:48:51.136668267Z, now: 2024-04-08T00:48:51.136721900Z
exchange: 2024-04-08T00:48:51.455Z, received: 2024-04-08T00:48:51.557965476Z, now: 2024-04-08T00:48:51.558059227Z
